feature,importance
checking_status,0.6325301232821413
duration,0.34881286720220195
credit_amount,0.23822993329098596
credit_history,0.21652399432755146
savings_status,0.17229965610777634
purpose,0.16907337007611306
other_payment_plans,0.15759141663769888
employment,0.1244534367959387
installment_commitment,0.1230104230620584
property_magnitude,0.10624326679077976
age,0.09731216198076979
personal_status,0.09726200916190617
residence_since,0.03709359120891097
housing,0.027995042980417092
own_telephone,0.026282646886248054
job,0.024122708614365846
existing_credits,0.017915986538089845
num_dependents,0.016508980751199286
other_parties,0.008550077032521865
foreign_worker,0.0
